DEPP;CODCOMP;COMP;Commune pôle;DEP;CODCOM;COM;Commune;PMUN;PCAP;PTOT
14;576;14576;Val-de-Vie;14;576;14576;Sainte-Foy-de-Montgommery;164;1;165
14;579;14579;Seulline;14;579;14579;Saint-Georges-d'Aunay;706;18;724
14;654;14654;Saint-Pierre-en-Auge;14;580;14580;Saint-Georges-en-Auge;82;2;84
14;011;14011;Aurseulles;14;581;14581;Saint-Germain-d'Ectot;313;6;319
14;576;14576;Val-de-Vie;14;583;14583;Saint-Germain-de-Montgommery;163;8;171
14;762;14762;Vire Normandie;14;584;14584;Saint-Germain-de-Tallevende-la-Lande-Vaumont;2045;90;2135
14;174;14174;Condé-en-Normandie;14;585;14585;Saint-Germain-du-Crioult;870;18;888
14;591;14591;Aure sur Mer;14;591;14591;Sainte-Honorine-des-Pertes;528;8;536
14;672;14672;Val de Drôme;14;596;14596;Saint-Jean-des-Essartiers;236;4;240
14;357;14357;Terres de Druance;14;597;14597;Saint-Jean-le-Blanc;343;4;347
14;570;14570;Valorbiquet;14;599;14599;Saint-Julien-de-Mailloc;447;7;454
14;431;14431;Mézidon Vallée d'Auge;14;600;14600;Saint-Julien-le-Faucon;745;13;758
14;527;14527;Belle Vie en Auge;14;608;14608;Saint-Loup-de-Fribois;180;5;185
14;658;14658;Noues de Sienne;14;611;14611;Saint-Manvieu-Bocage;525;17;542
14;371;14371;Livarot-Pays-d'Auge;14;615;14615;Sainte-Marguerite-des-Loges;177;3;180
14;654;14654;Saint-Pierre-en-Auge;14;616;14616;Sainte-Marguerite-de-Viette;330;4;334
14;061;14061;Souleuvre en Bocage;14;618;14618;Sainte-Marie-Laumont;664;18;682
14;689;14689;Thury-Harcourt-le-Hom;14;628;14628;Saint-Martin-de-Sallen;607;11;618
14;061;14061;Souleuvre en Bocage;14;629;14629;Saint-Martin-des-Besaces;1193;4;1197
14;061;14061;Souleuvre en Bocage;14;632;14632;Saint-Martin-Don;223;3;226
14;371;14371;Livarot-Pays-d'Auge;14;633;14633;Saint-Martin-du-Mesnil-Oury;119;2;121
14;371;14371;Livarot-Pays-d'Auge;14;634;14634;Saint-Michel-de-Livet;170;5;175
14;061;14061;Souleuvre en Bocage;14;636;14636;Saint-Ouen-des-Besaces;432;3;435
