COL;Collectivité;CODCOM;COM;Commune;PMUN;PCAP;PTOT
975;Saint-Pierre-et-Miquelon;501;97501;Miquelon-Langlade;596;16;612
975;Saint-Pierre-et-Miquelon;502;97502;Saint-Pierre;5223;152;5375
977;Saint-Barthélemy;701;97701;Saint-Barthélemy;10562;94;10656
978;Saint-Martin;801;97801;Saint-Martin;31496;455;31951
